,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Source
371,372,d,c,4880,8,2010,1,18.0,2014.0,"Jan,Apr,Jul,Oct",3
372,373,d,c,11120,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
373,374,a,a,1150,9,2007,0,,,,3
374,375,a,c,15710,2,2013,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
375,376,a,a,160,8,2012,0,,,,3
376,377,a,c,100,6,2010,1,18.0,2010.0,"Feb,May,Aug,Nov",3
377,378,a,c,2140,8,2012,0,,,,3
378,379,d,a,6630,-1,-1,0,,,,3
379,380,a,a,2240,5,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
380,381,a,a,1800,11,2006,1,5.0,2013.0,"Feb,May,Aug,Nov",3
381,382,c,c,26130,11,2002,0,,,,3
382,383,a,c,350,-1,-1,0,,,,3
383,384,a,c,130,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
384,385,d,a,4580,9,2007,0,,,,3
385,386,d,c,1460,4,2014,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
386,387,c,a,210,-1,-1,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
387,388,a,a,2260,-1,-1,0,,,,3
388,389,a,c,6690,8,2011,0,,,,3
389,390,a,c,1600,4,2009,0,,,,3
390,391,a,a,460,11,2014,1,31.0,2013.0,"Feb,May,Aug,Nov",3
391,392,a,a,2120,-1,-1,0,,,,3
392,393,d,c,4820,3,2008,0,,,,3
393,394,d,a,10850,-1,-1,0,,,,3
394,395,a,a,3620,2,2013,0,,,,3
395,396,a,c,23130,-1,-1,0,,,,3
396,397,a,c,130,-1,-1,1,27.0,2013.0,"Feb,May,Aug,Nov",3
397,398,c,c,1540,-1,-1,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
398,399,a,a,5360,9,2012,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
399,400,a,a,70,11,2004,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
400,401,a,c,9200,10,2009,1,14.0,2012.0,"Jan,Apr,Jul,Oct",3
401,402,c,c,5830,9,2011,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
402,403,a,a,4970,7,2015,0,,,,3
403,404,a,c,1420,-1,-1,1,10.0,2013.0,"Mar,Jun,Sept,Dec",3
404,405,a,a,1080,4,2008,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
405,406,d,c,8240,3,2001,1,10.0,2013.0,"Feb,May,Aug,Nov",3
406,407,a,a,5890,10,2003,1,14.0,2011.0,"Feb,May,Aug,Nov",3
407,408,c,a,1560,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
408,409,d,c,840,-1,-1,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
409,410,c,a,40,11,2011,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
410,411,d,c,8460,-1,-1,0,,,,3
411,412,d,c,4460,-1,-1,1,39.0,2010.0,"Jan,Apr,Jul,Oct",3
412,413,a,c,760,9,2014,0,,,,3
413,414,d,c,6210,-1,-1,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
414,415,d,c,6910,4,2005,0,,,,3
415,416,a,c,4650,6,2014,0,,,,3
416,417,a,c,840,-1,-1,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
417,418,a,a,1060,5,2009,1,27.0,2011.0,"Feb,May,Aug,Nov",3
418,419,c,a,1620,9,2009,0,,,,3
419,420,d,c,250,-1,-1,1,27.0,2012.0,"Jan,Apr,Jul,Oct",3
420,421,c,c,3530,6,2012,1,35.0,2012.0,"Mar,Jun,Sept,Dec",3
421,422,a,c,2880,-1,-1,0,,,,3
422,423,b,a,1270,5,2014,0,,,,3
423,424,d,c,1250,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
424,425,d,c,1460,-1,-1,0,,,,3
425,426,a,a,250,-1,-1,0,,,,3
426,427,a,c,70,7,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
427,428,d,a,2960,12,2014,1,23.0,2015.0,"Mar,Jun,Sept,Dec",3
428,429,d,c,16350,7,2005,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
429,430,d,c,12870,10,2008,0,,,,3
430,431,d,c,4520,-1,-1,0,,,,3
431,432,a,a,810,5,2013,0,,,,3
432,433,a,c,30030,11,2010,0,,,,3
433,434,a,a,13020,8,2003,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
434,435,a,a,910,-1,-1,0,,,,3
435,436,d,a,2300,-1,-1,0,,,,3
436,437,c,c,430,-1,-1,1,50.0,2010.0,"Jan,Apr,Jul,Oct",3
437,438,d,c,1110,-1,-1,1,40.0,2012.0,"Jan,Apr,Jul,Oct",3
438,439,a,a,1350,9,2009,0,,,,3
439,440,d,a,3900,4,2005,1,45.0,2009.0,"Feb,May,Aug,Nov",3
440,441,d,a,2530,-1,-1,0,,,,3
441,442,c,a,500,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
442,443,d,a,11400,12,2005,0,,,,3
443,444,c,a,1700,11,2009,0,,,,3
444,445,a,a,240,-1,-1,0,,,,3
445,446,a,a,340,10,2000,1,31.0,2013.0,"Feb,May,Aug,Nov",3
446,447,a,c,1510,9,2013,0,,,,3
447,448,a,c,3970,9,2009,0,,,,3
448,449,a,c,120,12,2014,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
449,450,c,a,5780,11,1994,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
450,451,a,a,2460,4,2009,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
451,452,a,c,1850,8,2013,1,5.0,2011.0,"Feb,May,Aug,Nov",3
452,453,a,c,75860,-1,-1,0,,,,3
453,454,a,a,26450,-1,-1,0,,,,3
454,455,d,c,7660,9,2010,0,,,,3
455,456,a,c,140,-1,-1,0,,,,3
456,457,d,c,13140,-1,-1,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
457,458,c,a,3390,-1,-1,0,,,,3
458,459,a,a,250,9,2008,1,5.0,2013.0,"Feb,May,Aug,Nov",3
459,460,a,a,34050,4,2008,0,,,,3
460,461,d,c,1790,7,2013,1,40.0,2013.0,"Jan,Apr,Jul,Oct",3
461,462,a,a,44320,8,2008,0,,,,3
462,463,a,a,4160,-1,-1,0,,,,3
463,464,c,a,520,3,2009,0,,,,3
464,465,d,c,10890,4,2005,0,,,,3
465,466,a,c,3110,3,2003,0,,,,3
466,467,a,c,20390,4,2008,0,,,,3
467,468,c,c,5260,9,2012,0,,,,3
468,469,c,c,710,9,2005,0,,,,3
469,470,a,c,50,-1,-1,0,,,,3
470,471,d,a,5300,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
471,472,c,c,5030,8,2011,0,,,,3
472,473,a,a,50,-1,-1,0,,,,3
473,474,c,a,14810,-1,-1,1,14.0,2011.0,"Mar,Jun,Sept,Dec",3
474,475,a,a,140,9,2005,0,,,,3
475,476,d,a,8300,9,2006,0,,,,3
476,477,d,a,770,7,2010,1,35.0,2010.0,"Jan,Apr,Jul,Oct",3
477,478,d,c,1940,3,2012,0,,,,3
478,479,a,a,320,12,2005,1,9.0,2011.0,"Feb,May,Aug,Nov",3
479,480,a,a,300,11,2012,0,,,,3
480,481,c,c,7470,-1,-1,1,44.0,2012.0,"Feb,May,Aug,Nov",3
481,482,c,a,2550,10,2005,0,,,,3
482,483,a,c,2310,9,2011,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
483,484,a,c,14300,3,2011,0,,,,3
484,485,d,c,3270,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
485,486,a,a,2320,-1,-1,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
486,487,d,c,2180,9,2012,1,40.0,2012.0,"Jan,Apr,Jul,Oct",3
487,488,a,c,2890,4,2014,0,,,,3
488,489,a,a,14960,11,2013,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
489,490,a,a,660,4,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
490,491,d,c,4680,-1,-1,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
491,492,a,a,1740,3,2008,1,40.0,2012.0,"Jan,Apr,Jul,Oct",3
492,493,d,c,1150,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
493,494,b,a,1260,6,2011,0,,,,3
494,495,d,a,5470,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
495,496,d,c,2780,6,2015,0,,,,3
496,497,a,c,1610,-1,-1,0,,,,3
497,498,a,a,990,-1,-1,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
498,499,c,c,450,-1,-1,1,5.0,2013.0,"Feb,May,Aug,Nov",3
499,500,d,c,10690,9,2007,1,5.0,2013.0,"Jan,Apr,Jul,Oct",3
500,501,a,c,1620,9,2006,0,,,,3
501,502,a,a,220,2,2002,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
502,503,d,c,13080,9,2006,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
503,504,c,c,820,-1,-1,0,,,,3
504,505,a,a,350,-1,-1,1,5.0,2013.0,"Feb,May,Aug,Nov",3
505,506,a,a,1850,12,2014,1,18.0,2011.0,"Feb,May,Aug,Nov",3
506,507,a,c,9070,4,2011,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
507,508,a,c,1280,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
508,509,a,a,4740,7,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
509,510,a,c,8260,-1,-1,0,,,,3
510,511,a,a,2060,9,2009,0,,,,3
511,512,b,b,590,-1,-1,1,5.0,2013.0,"Mar,Jun,Sept,Dec",3
512,513,a,a,400,8,2013,0,,,,3
513,514,c,c,1200,7,2012,1,27.0,2012.0,"Jan,Apr,Jul,Oct",3
514,515,d,c,11260,-1,-1,1,9.0,2011.0,"Feb,May,Aug,Nov",3
515,516,a,c,20,-1,-1,1,35.0,2010.0,"Mar,Jun,Sept,Dec",3
516,517,a,c,22490,-1,-1,0,,,,3
517,518,d,c,3330,3,2015,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
518,519,c,c,2510,8,2009,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
519,520,a,c,6900,-1,-1,1,40.0,2012.0,"Mar,Jun,Sept,Dec",3
520,521,d,a,18610,11,2002,1,48.0,2011.0,"Mar,Jun,Sept,Dec",3
521,522,d,c,7160,11,2012,1,9.0,2011.0,"Jan,Apr,Jul,Oct",3
522,523,c,c,50,11,2013,0,,,,3
523,524,a,c,40860,9,2013,0,,,,3
524,525,d,c,1870,9,2013,0,,,,3
525,526,a,a,120,-1,-1,1,48.0,2011.0,"Mar,Jun,Sept,Dec",3
526,527,d,c,5830,4,2008,0,,,,3
527,528,a,c,20620,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
528,529,d,c,12920,9,2012,0,,,,3
529,530,a,c,18160,-1,-1,0,,,,3
530,531,a,c,4030,-1,-1,0,,,,3
531,532,a,c,1070,8,2010,0,,,,3
532,533,a,c,5950,-1,-1,0,,,,3
533,534,d,a,1200,9,2009,1,45.0,2009.0,"Jan,Apr,Jul,Oct",3
534,535,a,a,3570,4,2007,0,,,,3
535,536,a,c,4700,9,2002,1,31.0,2013.0,"Feb,May,Aug,Nov",3
536,537,a,a,600,5,2002,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
537,538,a,a,990,2,2010,0,,,,3
538,539,a,a,770,5,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
539,540,d,c,810,-1,-1,1,48.0,2012.0,"Jan,Apr,Jul,Oct",3
540,541,a,c,650,7,1990,0,,,,3
541,542,a,a,7280,9,2012,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
542,543,c,a,1080,12,2012,0,,,,3
543,544,a,a,250,12,2001,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
544,545,a,c,5020,5,2006,1,18.0,2014.0,"Feb,May,Aug,Nov",3
545,546,a,a,580,1,2005,0,,,,3
546,547,d,c,8990,11,2009,1,35.0,2010.0,"Mar,Jun,Sept,Dec",3
547,548,d,c,3760,2,2009,0,,,,3
548,549,a,c,2330,-1,-1,0,,,,3
549,550,d,c,50,6,2015,0,,,,3
550,551,a,c,2190,9,2013,0,,,,3
551,552,a,a,4260,7,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
552,553,c,a,3040,9,2002,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
553,554,c,c,1200,-1,-1,0,,,,3
554,555,d,a,1560,1,2014,1,10.0,2013.0,"Mar,Jun,Sept,Dec",3
555,556,d,c,1140,11,2014,0,,,,3
556,557,a,a,250,-1,-1,0,,,,3
557,558,a,a,3000,2,2010,0,,,,3
558,559,d,a,3910,11,2006,1,5.0,2013.0,"Feb,May,Aug,Nov",3
559,560,c,c,1910,7,2013,0,,,,3
560,561,d,a,14300,-1,-1,0,,,,3
561,562,b,c,1210,-1,-1,0,,,,3
562,563,a,a,700,3,2015,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
563,564,d,c,6540,-1,-1,1,14.0,2013.0,"Jan,Apr,Jul,Oct",3
564,565,a,c,160,7,2007,0,,,,3
565,566,a,a,3620,-1,-1,1,40.0,2013.0,"Jan,Apr,Jul,Oct",3
566,567,c,a,1010,9,2012,1,18.0,2011.0,"Feb,May,Aug,Nov",3
567,568,d,c,4270,-1,-1,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
568,569,a,a,1340,9,2006,0,,,,3
569,570,a,a,180,11,2006,0,,,,3
570,571,d,a,2110,11,1995,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
571,572,d,c,9230,4,2004,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
572,573,a,a,1190,11,2012,1,36.0,2013.0,"Jan,Apr,Jul,Oct",3
573,574,d,a,4400,-1,-1,0,,,,3
574,575,a,a,960,5,2008,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
575,576,c,a,50,11,2006,0,,,,3
576,577,a,c,2270,-1,-1,1,35.0,2012.0,"Mar,Jun,Sept,Dec",3
577,578,d,a,12700,4,2013,0,,,,3
578,579,c,a,20970,11,2012,0,,,,3
579,580,a,c,170,2,2009,0,,,,3
580,581,a,a,7250,12,2013,0,,,,3
581,582,a,a,120,-1,-1,0,,,,3
582,583,a,a,2640,11,2002,0,,,,3
583,584,d,a,1360,-1,-1,1,35.0,2010.0,"Mar,Jun,Sept,Dec",3
584,585,d,c,440,4,2014,0,,,,3
585,586,a,c,250,10,2008,0,,,,3
586,587,d,c,330,9,2006,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
587,588,d,c,15720,3,2010,0,,,,3
588,589,a,c,360,-1,-1,1,18.0,2013.0,"Feb,May,Aug,Nov",3
589,590,d,c,4520,9,2010,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
590,591,a,c,3340,-1,-1,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
591,592,a,a,2540,6,2005,0,,,,3
592,593,a,c,33060,3,2010,0,,,,3
593,594,a,a,1790,10,2011,0,,,,3
594,595,c,c,1130,6,2015,0,,,,3
595,596,c,a,290,9,2006,0,,,,3
596,597,a,a,150,9,2008,1,1.0,2012.0,"Mar,Jun,Sept,Dec",3
597,598,c,a,550,12,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
598,599,d,c,580,11,2014,0,,,,3
599,600,d,c,17340,6,2010,1,9.0,2011.0,"Feb,May,Aug,Nov",3
600,601,d,a,8220,4,2014,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
601,602,a,a,2710,7,2001,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
602,603,a,a,340,4,2007,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
603,604,d,a,10950,3,2014,0,,,,3
604,605,d,a,10310,4,2003,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
605,606,a,a,2260,11,2007,0,,,,3
606,607,a,a,350,8,1999,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
607,608,a,c,18370,2,2013,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
608,609,a,a,2070,9,2007,0,,,,3
609,610,a,a,660,1,2007,0,,,,3
610,611,a,a,8080,12,2002,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
611,612,d,c,2490,11,2012,1,31.0,2009.0,"Jan,Apr,Jul,Oct",3
612,613,c,a,250,6,2007,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
613,614,a,a,1160,12,2012,0,,,,3
614,615,d,a,730,8,2007,0,,,,3
615,616,a,c,3040,8,2011,1,35.0,2010.0,"Mar,Jun,Sept,Dec",3
616,617,a,c,8940,-1,-1,1,9.0,2011.0,"Jan,Apr,Jul,Oct",3
617,618,d,c,9910,-1,-1,0,,,,3
618,619,a,a,1600,6,2006,1,45.0,2009.0,"Feb,May,Aug,Nov",3
619,620,d,c,5440,-1,-1,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
620,621,a,a,30,7,2002,0,,,,3
621,622,a,c,-1,-1,-1,0,,,,3
622,623,a,a,4080,3,2011,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
623,624,a,c,6920,9,2011,0,,,,3
624,625,a,a,1170,4,2011,1,22.0,2012.0,"Feb,May,Aug,Nov",3
625,626,c,c,10740,11,2013,0,,,,3
626,627,c,c,3970,3,2010,0,,,,3
627,628,a,c,2180,-1,-1,0,,,,3
628,629,d,a,510,7,2014,1,23.0,2015.0,"Mar,Jun,Sept,Dec",3
629,630,a,a,1690,4,2015,0,,,,3
630,631,d,c,2870,-1,-1,1,35.0,2012.0,"Mar,Jun,Sept,Dec",3
631,632,a,a,3350,2,2010,0,,,,3
632,633,d,a,11640,4,2005,1,22.0,2011.0,"Jan,Apr,Jul,Oct",3
633,634,d,a,18610,-1,-1,0,,,,3
634,635,a,a,27530,4,2014,0,,,,3
635,636,c,a,720,10,2004,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
636,637,d,c,9790,-1,-1,1,31.0,2009.0,"Feb,May,Aug,Nov",3
637,638,d,a,10170,11,2001,0,,,,3
638,639,a,a,7780,11,2006,0,,,,3
639,640,d,c,8040,-1,-1,0,,,,3
640,641,a,c,610,12,2003,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
641,642,c,c,530,4,2005,1,35.0,2010.0,"Mar,Jun,Sept,Dec",3
642,643,a,a,230,6,2010,1,18.0,2010.0,"Feb,May,Aug,Nov",3
643,644,c,a,4030,12,2004,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
644,645,a,a,90,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
645,646,a,a,620,9,2014,0,,,,3
646,647,a,c,7420,4,2013,0,,,,3
647,648,d,a,2130,12,2008,0,,,,3
648,649,a,a,14570,11,2002,0,,,,3
649,650,a,a,1420,10,2012,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
650,651,a,a,200,-1,-1,0,,,,3
651,652,a,a,20390,-1,-1,0,,,,3
652,653,d,c,7520,7,2014,1,45.0,2009.0,"Feb,May,Aug,Nov",3
653,654,c,a,6930,9,2006,0,,,,3
654,655,d,c,960,11,2012,1,5.0,2013.0,"Feb,May,Aug,Nov",3
655,656,d,a,410,4,2009,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
656,657,c,c,80,1,2006,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
657,658,d,c,520,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
658,659,d,a,1590,3,2012,0,,,,3
659,660,a,a,1200,11,2006,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
660,661,d,c,2140,7,2013,0,,,,3
661,662,d,a,1070,-1,-1,0,,,,3
662,663,a,c,7860,5,2005,0,,,,3
663,664,d,c,1680,10,2005,0,,,,3
664,665,a,a,90,12,2012,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
665,666,c,c,2700,-1,-1,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3
666,667,d,c,2870,9,2012,0,,,,3
667,668,c,a,1270,9,2010,0,,,,3
668,669,d,a,17080,7,2012,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
669,670,a,a,2060,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
670,671,a,c,2070,2,2008,1,39.0,2010.0,"Jan,Apr,Jul,Oct",3
671,672,c,a,240,9,2002,0,,,,3
672,673,d,c,15170,-1,-1,1,5.0,2013.0,"Feb,May,Aug,Nov",3
673,674,a,a,2640,12,2005,1,31.0,2013.0,"Feb,May,Aug,Nov",3
674,675,a,a,2100,8,2013,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
675,676,b,b,1410,9,2008,0,,,,3
676,677,d,a,1740,6,2014,1,45.0,2009.0,"Feb,May,Aug,Nov",3
677,678,c,a,3250,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
678,679,a,a,4140,9,2012,0,,,,3
679,680,c,a,170,-1,-1,1,35.0,2012.0,"Mar,Jun,Sept,Dec",3
680,681,a,c,620,-1,-1,1,1.0,2014.0,"Mar,Jun,Sept,Dec",3
681,682,b,a,150,9,2006,0,,,,3
682,683,a,a,2850,7,2014,0,,,,3
683,684,d,c,680,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
684,685,a,a,650,11,2013,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
685,686,a,a,20050,4,2002,0,,,,3
686,687,d,c,2770,-1,-1,0,,,,3
687,688,a,a,18760,8,2015,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
688,689,d,a,15040,10,2004,0,,,,3
689,690,a,a,100,-1,-1,0,,,,3
690,691,d,c,3030,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
691,692,a,a,40,8,2001,0,,,,3
692,693,d,a,450,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
693,694,a,c,460,11,2012,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
694,695,a,a,550,7,2011,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
695,696,a,c,430,-1,-1,0,,,,3
696,697,d,a,3780,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
697,698,a,a,1790,5,2011,0,,,,3
698,699,a,a,180,-1,-1,1,5.0,2013.0,"Jan,Apr,Jul,Oct",3
699,700,a,c,830,-1,-1,1,27.0,2013.0,"Jan,Apr,Jul,Oct",3
700,701,d,a,1450,3,2012,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
701,702,a,a,8550,9,2001,1,45.0,2009.0,"Feb,May,Aug,Nov",3
702,703,a,a,80,6,2005,0,,,,3
703,704,d,c,1910,4,2009,0,,,,3
704,705,a,a,4140,9,2012,1,18.0,2011.0,"Feb,May,Aug,Nov",3
705,706,d,a,7830,9,2014,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
706,707,a,c,2900,7,1990,0,,,,3
707,708,c,c,11470,10,2009,1,18.0,2014.0,"Jan,Apr,Jul,Oct",3
708,709,a,a,500,12,2010,0,,,,3
709,710,d,a,1500,9,2008,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
710,711,d,a,17110,3,2007,1,5.0,2010.0,"Jan,Apr,Jul,Oct",3
711,712,a,a,4870,9,2007,1,45.0,2009.0,"Jan,Apr,Jul,Oct",3
712,713,a,c,220,-1,-1,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
713,714,d,c,12070,10,2005,1,10.0,2013.0,"Jan,Apr,Jul,Oct",3
714,715,a,a,14810,6,2014,0,,,,3
715,716,d,a,3200,1,2008,1,22.0,2011.0,"Jan,Apr,Jul,Oct",3
716,717,d,c,310,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
717,718,a,a,1100,6,2015,0,,,,3
718,719,c,c,8190,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
719,720,a,c,15320,3,2011,1,14.0,2013.0,"Feb,May,Aug,Nov",3
720,721,a,c,3590,9,2012,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
721,722,a,a,50,-1,-1,0,,,,3
722,723,d,c,5650,9,2008,1,5.0,2013.0,"Feb,May,Aug,Nov",3
723,724,d,c,5900,-1,-1,0,,,,3
724,725,d,c,17540,6,2012,0,,,,3
725,726,a,c,40540,2,2002,0,,,,3
726,727,a,a,2050,3,2007,0,,,,3
727,728,d,a,13990,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
728,729,c,c,8980,6,2011,0,,,,3
729,730,c,a,1190,9,2013,0,,,,3
730,731,a,a,15270,-1,-1,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
731,732,a,c,35280,-1,-1,0,,,,3
732,733,b,b,860,10,1999,0,,,,3
733,734,a,a,220,-1,-1,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
734,735,d,c,1920,4,2005,0,,,,3
735,736,c,c,1650,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
736,737,a,a,100,5,2007,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
737,738,d,c,5980,10,2005,0,,,,3
738,739,d,c,2770,6,2008,1,22.0,2011.0,"Jan,Apr,Jul,Oct",3
739,740,d,a,6400,3,2014,0,,,,3
740,741,d,c,11900,-1,-1,0,,,,3
741,742,d,c,4380,-1,-1,0,,,,3
742,743,a,a,6710,11,2003,1,14.0,2012.0,"Jan,Apr,Jul,Oct",3
743,744,a,a,1370,12,2011,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
